title,totalScore,reviewsCount,price,street,city,categoryName,rank,popularTimesLiveText
Restaurant im Mercure Hotel,3.9,38,€10–20,Schwertstraße 65,Sindelfingen,German restaurant,100,
Restaurant Rösch,4.5,207,€20–30,Scheffelstraße 23,Stuttgart,German restaurant,145,
Restaurant Brunnenstuben,4.7,277,€30–40,Quellenstraße 14,Waiblingen,German restaurant,141,
Restaurant Fellbacher Tröpfle,4.4,708,€20–30,Kleinfeldstraße 29,Fellbach,German restaurant,140,
Gasthof Lamm Restaurant Wintergarten Partyservice,4.4,273,€20–30,Hauptstraße 44,Kernen,German restaurant,137,Now: Usually not busy
Restaurant Schillerhöhe,4.4,990,€20–30,Finkenweg 2,Gerlingen,German restaurant,134,
Restaurant “Zum Ackerbürger“ - Stuttgart,4.8,1242,€30–40,Spreuergasse 38,Stuttgart,German restaurant,111,
Restaurant Meister Lampe,4.7,223,€50+,Solitudestraße 261,Stuttgart,German restaurant,103,
"PS! Theatergastronomie, Catering & Service GmbH",4.0,550,€20–30,Siemensstraße 11,Stuttgart,German restaurant,107,Not busy
Gaststätte Jägerstuben-Inh. Sascha Kulstrunk,4.6,199,€20–30,Dorfstraße 28,Barkenholm,German restaurant,51,
Restaurant Distelfarm Stuttgart,4.3,1312,€20–30,Paul-Hahn-Weg 10,Stuttgart,German restaurant,44,Less busy than usual
Wirtshaus Garbe,4.5,2230,€20–30,Filderhauptstraße 136,Stuttgart,German restaurant,46,Not too busy
Berggasthof Stöhr,3.8,1002,€10–20,Großer Inselsberg 1,Brotterode-Trusetal,German restaurant,156,
Berggasthof Queste,4.6,512,€20–30,Questenweg 5,Schmalkalden,German restaurant,126,
Pension & Restaurant Sächsischer Hof in Ohrdruf,4.1,210,€20–30,Marktpl. 9,Ohrdruf,German restaurant,125,
Wirtshaus Im Ehrental,4.5,589,€10–20,"Wirtshaus im Ehrental, Ehrental 1",Schmalkalden,German restaurant,116,
"Gaststube ""Zum Kirchhof""",4.6,283,€10–20,Kirchhof 14,Schmalkalden,German restaurant,112,
Gasthof Zur Aue,4.4,810,€20–30,Herrenhöfer Allee 32,Herrenhof,German restaurant,111,
Gaststätte Feldschlößchen,4.7,106,€10–20,Bahnhofstraße 38,Floh-Seligenthal,German restaurant,107,
Gasthaus am Waldbad,4.5,116,€10–20,Kisseler Str. 68,Schweina,German restaurant,99,
Böhler Landgang,4.7,632,€20–30,Böhler Landstraße 153,Sankt Peter-Ording,German restaurant,13,Less busy than usual
"Restaurant & Pension ""Zum Ohratal""",4.6,306,€20–30,Karl-Marx-Straße 5,Luisenthal,German restaurant,66,
Restaurant & Pension Luisensitz,4.6,227,€20–30,Theo-Neubauer-Straße 25,Oberhof,German restaurant,54,
Restaurant Zur Linde,4.2,39,€20–30,Karl-Marx-Straße 32,Fambach,German restaurant,21,
Gasthof Ritter,4.6,358,€20–30,Tieringer Str. 54,Balingen,German restaurant,164,
Gaststätte Hirsch,4.3,16,€10–20,Eichgasse 19,Hechingen,German restaurant,161,
Gaststätte Glufamichel,4.3,53,€10–20,Marktpl. 19,Hechingen,German restaurant,132,
Gasthaus Zur Ölmühle,4.1,439,€20–30,u. Säge 8,Schömberg,German restaurant,136,
Gasthof Adler - Klaus Sauter,4.7,237,€30–40,Hohnerstraße 3,Ratshausen,German restaurant,128,
Gasthof zum Plettenberg,4.7,551,€20–30,Bahnhofstraße 2,Schömberg,German restaurant,126,
Gasthof Restaurant ADLER,4.5,219,€30–40,Schloßstraße 1,Bisingen,German restaurant,121,
Landgasthof Lamm,4.8,155,€20–30,Kornbühlstraße 56,Burladingen,German restaurant,117,
Landgasthaus Wiesental - Margit Schwark,4.6,345,€20–30,Balinger Weg 22,Dautmergen,German restaurant,114,
Traufganghütte Brunnental,4.7,1339,€20–30,Raiten 1,Albstadt-Laufen,German restaurant,111,
Ebinger Pizza Service,,0,€20–30,Sonnenstraße 89,Albstadt,German restaurant,88,
Brauhaus Zollernalb GmbH,4.1,869,€20–30,Bahnhof 4,Albstadt,German restaurant,58,A little busy
Gasthaus Rose Bisingen by MJ´s Restaurant,4.4,586,€20–30,Hauptstraße 14,Bisingen,German restaurant,47,A little busy
Gasthaus zur Rose,4.4,278,€20–30,Grünewaldstraße 8,Bad Mergentheim,German restaurant,85,
Gaststätte Paradies - Sandra Stier,4.7,89,€10–20,Vaihinger-Hof-Straße 7,Zimmern unter der Burg,German restaurant,31,
Gasthof zum Ochsen,4.3,311,€50+,Rathausweg 10,Schöntal,German restaurant,68,
Restaurant Zum Brunnenwirt,4.7,287,€20–30,Richard-Wagner-Straße 2,Ravenstein,German restaurant,66,
Gasthaus Berghütte,4.5,562,€20–30,Berghof,Meßstetten,German restaurant,18,Not busy
Landgasthaus Krone Freudenweiler,4.5,230,€20–30,Ebinger Str. 29,Neufra,German restaurant,3,
Schützenhaus Geislingen,4.4,95,€20–30,Hörnleweg 1,Geislingen,German restaurant,1,
Gaststätte Ochsen,4.3,135,€10–20,Schweizer Str. 1,Balingen,German restaurant,4,
Zur Brücke,4.5,73,€10–20,Jagsthäuser Str. 6,Schöntal,German restaurant,43,
Paulaner am alten Postplatz,4.4,3668,€20–30,Calwer Str. 45,Stuttgart,German restaurant,3,A little busy
Gaststätte Zum Rad,4.7,47,€10–20,Kirchhofweg 2,Krautheim,German restaurant,10,
Deutscher Kaiser,4.5,292,€20–30,Bühlertalstraße 16,Bühl,German restaurant,172,
Restaurant - Café Röderswald,4.4,571,€20–30,Röderswaldweg 25,Baden-Baden,German restaurant,140,
Restaurant Malereck im BMK Yachthafen,4.6,390,€30–40,Argenweg 60/2,Langenargen,German restaurant,166,
Restaurant Hagnauer Hof,4.7,71,€10–20,Hauptstraße 19,Hagnau am Bodensee,German restaurant,162,
Hotel Restaurant Rebstöckle Hagnau am Bodensee,4.7,359,€30–40,Seestraße 10,Hagnau am Bodensee,German restaurant,147,
Restaurant Bürgerstuben,4.4,367,€20–30,Bahnhofstraße 21,Markdorf,German restaurant,131,
Wirtshaus an der Rotach,4.7,240,€20–30,Augustin-Bea-Straße 17,Oberteuringen,German restaurant,127,
Wirthshof Restaurant Hofmeisterei | Hofschenke | Markdorf | Bodensee,4.7,303,€10–20,Steibensteg 10,Markdorf,German restaurant,126,
Restaurant Lichtblick Restauration,4.7,415,€20–30,Marktstraße 10,Markdorf,German restaurant,119,
"Restaurant Das Haus Bonanza (Burger, Schnitzel, Steak, Balkan Spezialitäten)",4.5,498,€20–30,Spanierstraße 16,Konstanz,German restaurant,103,
Restaurant Zur Wendelgard,4.4,768,€20–30,Inselgasse 5,Konstanz,German restaurant,101,
Restaurant Jägerhof,4.6,871,€20–30,Gebhardsweiler 1,Uhldingen-Mühlhofen,German restaurant,94,Now: Usually a little busy
Restaurant Wirtshaus am Gehrenberg,4.6,1269,€20–30,Am Gehrenberg 1,Markdorf,German restaurant,100,
Restaurant Seelig,4.4,424,€20–30,Zur Therme 2,Konstanz,German restaurant,76,Now: Usually not too busy
Gasthof Krone Hotel & Restaurant,4.7,1180,€50+,Fichtenburgstraße 10,Friedrichshafen,German restaurant,87,Less busy than usual
Restaurant Am Häfele,4.2,1122,€20–30,Bachstraße 17,Immenstaad,German restaurant,70,Now: Usually not too busy
